1;2;3;28.3;3.05;"8"""
"""11";7;3;3     27.;0     2.5;"0        6"""
"""11";8;2;3     24.;2     1.6;"5        2"""
"""11";9;4;3     22.;5     1.4;"7        4"""
"""12";0;2;3     25.;1     1.8;"0        0"""
"""12";1;2;3     24.;9     2.2;"0        0"""
"""12";2;2;3     27.;5     2.6;"3        6"""
"""12";3;2;1     24.;3     2.0;"0        0"""
"""12";4;2;3     29.;5     3.0;"2        4"""
"""12";5;2;3     26.;2     2.3;"0        0"""
"""12";6;2;3     24.;7     1.9;"5        4"""
"""12";7;3;2     29.;8     3.5;"0        4"""
"""12";8;4;3     25.;7     2.1;"5        0"""
"""12";9;3;3     26.;2     2.1;"7        2"""
"""13";0;4;3     27.;0     2.6;"3        0"""
"""13";1;3;3     24.;8     2.1;"0        0"""
"""13";2;2;1     23.;7     1.9;"5        0"""
"""13";3;2;3     28.;2     3.0;"5       11"""
"""13";4;2;3     25.;2     2.0;"0        1"""
"""13";5;2;2     23.;2     1.9;"5        4"""
"""13";6;4;3     25.;8     2.0;"0        3"""
"""13";7;4;3     27.;5     2.6;"0        0"""
"""13";8;2;2     25.;7     2.0;"0        0"""
"""13";9;2;3     26.;8     2.6;"5        0"""
"""14";0;3;3     27.;5     3.1;"0        3"""
"""14";1;3;1     28.;5     3.2;"5        9"""
"""14";2;2;3     28.;5     3.0;"0        3"""
"""14";3;1;1     27.;4     2.7;"0        6"""
"""14";4;2;3     27.;2     2.7;"0        3"""
"""14";5;3;3     27.;1     2.5;"5        0"""
"""14";6;2;3     28.;0     2.8;"0        1"""
"""14";7;2;1     26.;5     1.3;"0        0"""
"""14";8;3;3     23.;0     1.8;"0        0"""
"""14";9;3;2     26.;0     2.2;"0        3"""
"""15";0;3;2     24.;5     2.2;"5        0"""
"""15";1;2;3     25.;8     2.3;"0        0"""
"""15";2;4;3     23.;5     1.9;"0        0"""
"""15";3;4;3     26.;7     2.4;"5        0"""
"""15";4;3;3     25.;5     2.2;"5        0"""
"""15";5;2;3     28.;2     2.8;"7        1"""
"""15";6;2;1     25.;2     2.0;"0        1"""
"""15";7;2;3     25.;3     1.9;"0        2"""
"""15";8;3;3     25.;7     2.1;"0        0"""
"""15";9;4;3     29.;3     3.2;"3       12"""
"""16";0;3;3     23.;8     1.8;"0        6"""
"""16";1;2;3     27.;4     2.9;"0        3"""
"""16";2;2;3     26.;2     2.0;"2        2"""
"""16";3;2;1     28.;0     2.9;"0        4"""
"""16";4;2;1     28.;4     3.1;"0        5"""
"""16";5;2;1     33.;5     5.2;"0        7"""
"""16";6;2;3     25.;8     2.4;"0        0"""
"""16";7;3;3     24.;0     1.9;"0       10"""
"""16";8;2;1     23.;1     2.0;"0        0"""
"""16";9;2;3     28.;3     3.2;"0        0"""
"""17";0;2;3     26.;5     2.3;"5        4"""
"""17";1;2;3     26.;5     2.7;"5        7"""
"""17";2;3;3     26.;1     2.7;"5        3"""
"""17";3;2;2     24.;5     2.0;"0        0"""
